dominio,forno,n_files,completude,validade,acuracia_proxy,tempestividade,unicidade,consistencia,time_cols_detectadas,interpretacao_operacional,acoes_recomendadas
Eletrodo,F1,1,1.0,0.798581560283688,,0.9928571428571429,0.9858156028368794,1.0,Data medi��o,"Risco moderado/alto para uso direto em modelagem em funcao de: validade, unicidade, acuracia_indeterminada. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .","Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Definir chave natural e deduplicar exportacoes/reprocessamentos. Definir referencias de acuracia (calibracao, checagens cruzadas) para sinais criticos."
Eletrodo,F2,1,1.0,0.8,,1.0,1.0,1.0,Data medi��o,"Risco moderado/alto para uso direto em modelagem em funcao de: validade, acuracia_indeterminada. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .","Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Definir referencias de acuracia (calibracao, checagens cruzadas) para sinais criticos."
Eletrodo,F3,1,1.0,0.8,,0.9770114942528736,1.0,1.0,Data medi��o,"Risco moderado/alto para uso direto em modelagem em funcao de: validade, acuracia_indeterminada. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .","Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Definir referencias de acuracia (calibracao, checagens cruzadas) para sinais criticos."
Eletrodo,F4,1,1.0,0.7989071038251366,,0.9945054945054945,1.0,1.0,Data medi��o,"Risco moderado/alto para uso direto em modelagem em funcao de: validade, acuracia_indeterminada. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .","Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Definir referencias de acuracia (calibracao, checagens cruzadas) para sinais criticos."
Eletrodo,F5,1,1.0,0.8,,1.0,1.0,1.0,Data medi��o,"Risco moderado/alto para uso direto em modelagem em funcao de: validade, acuracia_indeterminada. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .","Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Definir referencias de acuracia (calibracao, checagens cruzadas) para sinais criticos."
Informações Diária,F1,8,0.8075890303766224,0.9424438242083849,,,1.0,0.75,Data_base,"Risco moderado/alto para uso direto em modelagem em funcao de: completude, validade, consistencia, tempestividade_indeterminada, acuracia_indeterminada. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .","Investigar lacunas e padronizar preenchimento/campos obrigatorios. Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Padronizar schema e versionar mudancas de colunas e significados. Definir coluna temporal oficial e padrao de timestamp por dominio. Definir referencias de acuracia (calibracao, checagens cruzadas) para sinais criticos."
Informações Diária,F2,8,0.8392013942837908,0.9428847329763199,,,1.0,1.0,Data_base,"Risco moderado/alto para uso direto em modelagem em funcao de: completude, validade, tempestividade_indeterminada, acuracia_indeterminada. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .","Investigar lacunas e padronizar preenchimento/campos obrigatorios. Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Definir coluna temporal oficial e padrao de timestamp por dominio. Definir referencias de acuracia (calibracao, checagens cruzadas) para sinais criticos."
Informações Diária,F3,8,0.8339553852711188,0.9249039785779143,,0.9977973568281938,1.0,0.5,Data_base,"Risco moderado/alto para uso direto em modelagem em funcao de: completude, validade, consistencia, acuracia_indeterminada. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .","Investigar lacunas e padronizar preenchimento/campos obrigatorios. Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Padronizar schema e versionar mudancas de colunas e significados. Definir referencias de acuracia (calibracao, checagens cruzadas) para sinais criticos."
Informações Diária,F4,8,0.7361890070723219,0.9137882231371479,0.0008937299699297961,,1.0,0.5,Data_base,"Risco moderado/alto para uso direto em modelagem em funcao de: completude, validade, consistencia, tempestividade_indeterminada. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .",Investigar lacunas e padronizar preenchimento/campos obrigatorios. Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Padronizar schema e versionar mudancas de colunas e significados. Definir coluna temporal oficial e padrao de timestamp por dominio.
Informações Diária,F5,8,0.7682075623356894,0.9163847342544298,,,1.0,0.625,Data_base,"Risco moderado/alto para uso direto em modelagem em funcao de: completude, validade, consistencia, tempestividade_indeterminada, acuracia_indeterminada. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .","Investigar lacunas e padronizar preenchimento/campos obrigatorios. Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Padronizar schema e versionar mudancas de colunas e significados. Definir coluna temporal oficial e padrao de timestamp por dominio. Definir referencias de acuracia (calibracao, checagens cruzadas) para sinais criticos."
Supervisorio Forno 4,F4,2,0.9090778970457207,0.9944029309902298,0.029951511227152325,,1.0,1.0,"""Timestamp","Risco moderado/alto para uso direto em modelagem em funcao de: completude, tempestividade_indeterminada, acuracia_proxy_alta. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .",Investigar lacunas e padronizar preenchimento/campos obrigatorios. Definir coluna temporal oficial e padrao de timestamp por dominio. Revisar calibracao/drift e checar outliers por regras de engenharia.
Supervisorio Forno 5,,1,0.5525094908137624,0.02422097641887868,0.0,0.9997715591090806,1.0,1.0,Data,"Risco moderado/alto para uso direto em modelagem em funcao de: completude, validade. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .",Investigar lacunas e padronizar preenchimento/campos obrigatorios. Padronizar parse/tipos/unidades e bloquear valores nao parseaveis.
Supervisorio Forno 5,F5,1,0.9564897095358952,3.790936586687031e-06,,,1.0,1.0,Data,"Risco moderado/alto para uso direto em modelagem em funcao de: completude, validade, tempestividade_indeterminada, acuracia_indeterminada. Physics-based: risco por consistencia/validade/tempestividade. Supervisionada: risco por completude/validade/unicidade . Nao supervisionada: risco por completude/validade . RL: risco por consistencia/tempestividade/unicidade .","Investigar lacunas e padronizar preenchimento/campos obrigatorios. Padronizar parse/tipos/unidades e bloquear valores nao parseaveis. Definir coluna temporal oficial e padrao de timestamp por dominio. Definir referencias de acuracia (calibracao, checagens cruzadas) para sinais criticos."
